SIMULACIÓN GERENCIAL;AD0043
TEORIA GENERAL DEL PROCESO I;DE0210
TEORIA GENERAL DEL PROCESO II;DE0211
DERECHO PROBATORIO;DE0085
DERECHO ADMINISTRATIVO GENERAL;DE0026
DERECHO ADMINISTRATIVO COLOMBIANO;DE0022
SISTEMAS JURIDICOS Y DERECHO COMPARADO;DE0192
FUNDAMENTOS DE PENSAMIENTO CONTABLE;CO0049
CONTABILIDAD SOCIAL Y AMBIENTAL;CO0092
TEORIA DEL NEGOCIO JURIDICO;DE0206
CONTABILIDAD DEL SECTOR PÚBLICO;CO0091
DERECHO COMERCIAL TITULOS VALORES;DE0049
GESTIÓN AMBIENTAL;AD0041
RESPONSABILIDAD CIVIL EXTRACONTRACTUAL;DE0180
DAÑO RESARCIBLE (ELECTIVA V SEMESTRE);DE0226
CONTRATOS CIVILES I;DE0015
TEORÍA DE LA HISTORIA;ED0149
HISTORIA DE COLOMBIA II;ED0036
HISTORIA LATINOAMERICANA;ED0184
CONSULTORIO JURIDICO II;DE0011
DERECHO PROCESAL LABORAL;DE0095
BASE DE DATOS I;IF0017
REDES DE DATOS;IF0029
LENGUAJE DE PROGRAMACIÓN ORIENTADO A OBJETOS II;IF0022
ELECTIVA COMPLEMENTARIA I;IF0052
CÁTEDRA UNIVERSITARIA;AD0003
Cátedra Universitaria;EC0204
CÁTEDRA UNIVERSITARIA;ED0148
CÁLCULO I;ID0009
SIMULACIÓN;ID0120
TEORÍA GENERAL DEL DERECHO;DE0208
DERECHO CIVIL PERSONAS;DE0042
CONTRATOS CIVILES II;DE0016
DERECHO COMERCIAL GENERAL;DE0045
DERECHO DE SEGUROS (ELECTIVA  V SEMESTRE);DE0225
SEGURIDAD INFORMÁTICA;IF0054
TELEMATICA II;IF0051
ELECTIVA DE PROFUNDIZACIÓN I;IF0048
TELEMATICA I;IF0046
DERECHO PROCESAL PENAL II;DE0099
DERECHO PENAL GENERAL I;DE0079
DERECHO PENAL ESPECIAL I;DE0072
DERECHO PROCESAL PENAL I;DE0098
CONSULTORIO JURIDICO I;DE0010
PRÁCTICA DOCENTE I;ED0042
DIDÁCTICA II: DIDÁCTICA DE LAS CIENCIAS SOCIALES;ED0163
PROYECTO DE PRÁCTICA I;ED0157
DIDÁCTICA IV DIDÁCTICA CRÍTICA CONTEXTO LATINOAMERICANO;ED0180
DIDÁCTICA III  DISEÑO CURRICULAR EN CIENCIAS SOCIALES;ED0171
Economía internacional;EC0231
Derecho económico;EC0222
TEORÍA DEL CONTROL;CO0088
PRÁCTICAS EMERGENTES DE LA GESTIÓN HUMANA;AD0059
DERECHO CONSTITUCIONAL COLOMBIANO;DE0052
TEORIA DEL ESTADO;DE0203
TEORIA GENERAL DE SISTEMAS;IF0018
SISTEMAS OPERATIVOS;IF0040
INTRODUCCIÓN A LA PROGRAMACIÓN WEB;IF0024
LENGUAJE DE PROGRAMACIÓN ORIENTADO A OBJETOS I;IF0016
Macroeconomía III;EC0221
Economía ambiental;EC0239
GLOBALIZACIÓN Y DD HH. (SEMESTRALIZADO);DE0231
DERECHO INTERNACIONAL;DE0059
DERECHO INTERNACIONAL HUMANITARIO Y DERECHOS HUMANOS;DE0060
DERECHO CIVIL BIENES II;DE0030
DERECHO ROMANO;DE0102
DERECHO CIVIL BIENES I;DE0029
EMPRENDIMIENTO;CO0059
Fundamentos de pensamiento administrativo;EC0234
Mercado de capitales;EC0244
TECNICAS DE LA ORALIDAD Y EXPRESION CORPORAL;DE0199
GESTIÓN DEL TALENTO HUMANO;ID0062
SALARIOS;ID0113
HIGIENE Y SALUD OCUPACIONAL;ID0064
DERECHO LABORAL INDIVIDUAL;DE0068
DERECHO LABORAL COLECTIVO;DE0066
CONSULTORIO JURIDICO IV;DE0013
DERECHO PROCESAL ADMINISTRATIVO;DE0087
POLÍTICAS EDUCATIVAS;ED0044
ÉTICA EDUCATIVA;ED0053
ELECTRÓNICA BÁSICA GENERAL;IF0012
ECONOMÍA COLOMBIANA;DE0111
ECONOMIA, GLOBALIZACION Y DERECHO;DE0113
EMPRENDIMIENTO;AD0042
SISTEMAS DE INFORMACIÓN ORGANIZACIONAL;AD0026
GERENCIA ESTRATÉGICA;AD0045
TALLER DE HABILIDADES GERENCIALES;AD0036
DERECHO Y SOCIEDAD;CO0056
LEGISLACIÓN COMERCIAL;CO0064
GESTIÓN TECNOLÓGICA;AD0044
NEGOCIOS INTERNACIONALES;AD0034
ESPÍRITU EMPRESARIAL;AD0009
DERECHO CONSTITUCIONAL GENERAL;DE0057
DERECHO PROCESAL CIVIL I;DE0090
SOCIOLOGIA JURIDICA;DE0193
SEMINARIO DE INTELIGENCIA ARTIFICIAL;IF0047
FÍSICA Y LABORATORIO;ID0052
MÉTODOS NUMÉRICOS;IF0034
AUDITORIA DE SISTEMAS DE INFORMACIÓN;IF0044
BASE DE DATOS II;IF0023
INVESTIGACION III - PROYECTO DE INVESTIGACION;DE0156
DERECHO CIVIL SUCESIONES;DE0043
EMPRENDIMIENTO EDUCATIVO;ED0054
DIDÁCTICA I SABER DIDÁCTICO;ED0154
PSICOLOGÍA EDUCATIVA;ED0045
ECUACIONES DIFERENCIALES;ID0027
GEOMETRÍA ANALÍTICA Y VECTORIAL;ID0055
SEGURIDAD SOCIAL;DE0185
ROLES DEL ABOGADO (ELECTIVA II SEMESTRE);DE0181
GERENCIA FINANCIERA II;AD0050
INSTITUCIONES FINANCIERAS;AD0040
Gerencia de proyectos públicos;EC0265
MATEMÁTICAS FINANCIERAS;CO0097
GESTIÓN DE COSTOS II;CO0078
CONTABILIDAD ADMINISTRATIVA;CO0082
INVESTIGACIÓN VII;ED0048
INVESTIGACIÓN IV TEORÍA CRÍTICA;ED0173
PROYECTO DE PRÁCTICA II;ED0166
PRÁCTICA DOCENTE II;ED0049
GEOPOLÍTICA;ED0038
COSTOS Y PRESUPUESTOS;AD0013
CONTABILIDAD ADMINISTRATIVA;AD0017
DERECHO Y SOCIEDAD;AD0006
ACCIONES CONSTITUCIONALES (SEMESTRALIZADO);DE0234
Economía pública;EC0238
Economía del Desarrollo;EC0237
LEGISLACIÓN LABORAL;CO0074
INTRODUCCION AL DERECHO PENAL;DE0147
INGLÉS NIVEL III;ED0170
INGLÉS BÁSICO II;ED0047
INGLÉS NIVEL IV;ED0179
INGLÉS NIVEL I;ED0153
INVESTIGACION V - TRABAJO DE GRADO;DE0160
INVESTIGACION IV - TRABAJO DE CAMPO;DE0158
NOTARIADO Y REGISTRO;DE0173
Matemáticas I;EC0201
Matemáticas II;EC0206
Microeconomía I;EC0207
Métodos matemáticos;EC0225
EMPRENDIMIENTO EMPRESARIAL;ID0037
DCHO. PENAL INTERNACIONAL (SEMESTRALIZADO);DE0239
TEORÍA DE LA REGULACIÓN;CO0098
MATEMÁTICAS;ID0149
GEOMETRÍA EUCLIDIANA;ID0056
CÁLCULO III;ID0012
Econometría I;EC0229
HACIENDA PÚBLICA;CO0084
Estadística II;EC0223
Estadística I;EC0217
Matemáticas financieras y evaluación de proyectos;EC0226
Humanidades;EC0228
SOLUCION ALTERNATIVA DE CONFLICTOS;DE0196
DERECHO COMERCIAL SOCIEDADES;DE0048
MATEMÁTICA FINANCIERAS;AD0024
GERENCIA FINANCIERA I;AD0047
CÁTEDRA UNIVERSITARIA;CO0051
MATEMÁTICAS I;CO0052
MATEMÁTICAS II;CO0057
PROCESOS DE CONTROL I;CO0094
FILOSOFIA DEL DERECHO;DE0124
HERMENEUTICA Y ARGUMENTACION;DE0129
MATEMÁTICAS DISCRETAS;IF0021
INGENIERÍA DE HARDWARE;IF0025
QUÍMICA GENERAL Y LABORATORIO;ID0112
MANTENIMIENTO;ID0093
CÁLCULO II;ID0011
FUNDAMENTOS DE ECONOMÍA;AD0012
FUNDAMENTOS DE MICROECONOMÍA;AD0018
FUNDAMENTOS DE MACROECONOMÍA;CO0079
PROPIEDAD INTELECTUAL  (ELECTIVA DEL IV SEMESTRE);DE0177
Desarrollo territorial;EC0257
Microeconomía II;EC0214
HABILIDADES COMUNICATIVAS;CO0054
SEMINARIO HUMANÍSTICO II;CO0090
CÁTEDRA UNIVERSITARIA;ID0153
Dirección y Gestión Organizacional;AG0001
CONTABILIDAD GENERAL;ID0017
INGENIERÍA FINANCIERA;ID0072
COSTOS;ID0021
EPISTEMOLOGÍA E HISTORIA CONTABLE;CO0058
SEMINARIO DE INVESTIGACIÓN I;CO0062
DERECHO URBANÍSTICO (SEMESTRALIZADO);DE0244
INTRODUCCIÓN A LA PROGRAMACIÓN DELA WEB;ID0146
ESTRATEGIA;AD0058
TEORIA DEL CONFLICTO;DE0202
INVESTIGACION II -EPISTEMOLOGIA;DE0153
INVESTIGACION I - PENSAMIENTO COMPLEJO;DE0150
DERECHO PENAL ESPECIAL II;DE0073
NEGOCIOS INTERNACIONALES;CO0108
FUNDAMENTOS DE MICROECONOMÍA;CO0070
MATEMÁTICAS III;CO0061
SEMINARIO DE PROYECTO DE GRADO;AD0049
Geopolítica;EC0245
COMPRENSION LECTORA DE INGLÉS II;CO0103
DCHOS. HUMANOS LABORALES (SEMESTRALIZADO);DE0235
DERECHO LABORAL ADMINISTRATIVO (SEMESTRALIZADO);DE0243
TEORIA DE LAS OBLIGACIONES;DE0201
ESTADÍSTICA II;ID0041
ADMINISTRACIÓN FINANCIERA;ID0003
GERENCIA DE PROYECTOS;IF0043
CONTROL ESTADÍSTICO DE  LA CALIDAD;ID0019
GERENCIA FINANCIERA;CO0104
FINANCIERA ESPECIALIZACIÓN;CO0124
EVALUACIÓN DE PROYECTOS;CO0109
MODELOS DE GESTIÓN Y HABILIDADES DE DIRECCIÓN;CO0105
PROCESOS DE CONTROL II;CO0100
Consultoria;AD0054
PROSPECTIVA Y SOSTENIBILIDAD;AD0057
DERECHO PROCESAL CIVIL II;DE0091
OPCIÓN DE GRADO I (Para estudiantes del noveno semestre);CO0102
OPCIÓN DE GRADO II;CO0107
FILOSOFÍA LATINOAMERICANA;ED0187
FILOSOFÍA ÉTICO POLÍTICA;ED0178
FUNDAMENTOS DE FILOSOFÍA;ED0152
COMPETENCIAS COMUNICATIVAS I;ED0151
GESTIÓN POR PROCESOS;ID0063
GESTIÓN DE LA CALIDAD;ID0060
CONTABILIDAD FINANCIERA I;CO0060
CONTABILIDAD FINANCIERA II;CO0063
SOFTWARE CONTABLE;CO0081
REVISORIA FISCAL;CO0101
DCHOS. FUNDAMENTALES Y JURISPRUDENCIA (SEMESTRALIZADO);DE0233
CONSULTORIO JURIDICO III;DE0012
FUNDAMENTOS DE PENSAMIENTO ADMINISTRATIVO;CO0050
ANÁLISIS CONTABLE;CO0086
DERECHO PENAL GENERAL II;DE0082
Economía laboral;EC0260
Teoría de Juegos;EC0220
ELECTRICIDAD;ID0034
MAGNETISMO;ID0092
DERECHO TRIBUTARIO (semestralizado);DE0245
GERENCIA DE VENTAS;ID0131
INVESTIGACIÓN DE MERCADOS;ID0084
ETICA - DERECHO DISCIPLINARIO;DE0121
INGLÉS III;AD0021
INGLÉS I;AD0007
