AD0043;SIMULACIÓN GERENCIAL
DE0210;TEORIA GENERAL DEL PROCESO I
DE0211;TEORIA GENERAL DEL PROCESO II
DE0085;DERECHO PROBATORIO
DE0026;DERECHO ADMINISTRATIVO GENERAL
DE0022;DERECHO ADMINISTRATIVO COLOMBIANO
DE0192;SISTEMAS JURIDICOS Y DERECHO COMPARADO
CO0049;FUNDAMENTOS DE PENSAMIENTO CONTABLE
CO0092;CONTABILIDAD SOCIAL Y AMBIENTAL
DE0206;TEORIA DEL NEGOCIO JURIDICO
CO0091;CONTABILIDAD DEL SECTOR PÚBLICO
DE0049;DERECHO COMERCIAL TITULOS VALORES
AD0041;GESTIÓN AMBIENTAL
DE0180;RESPONSABILIDAD CIVIL EXTRACONTRACTUAL
DE0226;DAÑO RESARCIBLE (ELECTIVA V SEMESTRE)
DE0015;CONTRATOS CIVILES I
ED0149;TEORÍA DE LA HISTORIA
ED0036;HISTORIA DE COLOMBIA II
ED0184;HISTORIA LATINOAMERICANA
DE0011;CONSULTORIO JURIDICO II
DE0095;DERECHO PROCESAL LABORAL
IF0017;BASE DE DATOS I
IF0029;REDES DE DATOS
IF0022;LENGUAJE DE PROGRAMACIÓN ORIENTADO A OBJETOS II
IF0052;ELECTIVA COMPLEMENTARIA I
AD0003;CÁTEDRA UNIVERSITARIA
EC0204;Cátedra Universitaria
ED0148;CÁTEDRA UNIVERSITARIA
ID0009;CÁLCULO I
ID0120;SIMULACIÓN
DE0208;TEORÍA GENERAL DEL DERECHO
DE0042;DERECHO CIVIL PERSONAS
DE0016;CONTRATOS CIVILES II
DE0045;DERECHO COMERCIAL GENERAL
DE0225;DERECHO DE SEGUROS (ELECTIVA  V SEMESTRE)
IF0054;SEGURIDAD INFORMÁTICA
IF0051;TELEMATICA II
IF0048;ELECTIVA DE PROFUNDIZACIÓN I
IF0046;TELEMATICA I
DE0099;DERECHO PROCESAL PENAL II
DE0079;DERECHO PENAL GENERAL I
DE0072;DERECHO PENAL ESPECIAL I
DE0098;DERECHO PROCESAL PENAL I
DE0010;CONSULTORIO JURIDICO I
ED0042;PRÁCTICA DOCENTE I
ED0163;DIDÁCTICA II: DIDÁCTICA DE LAS CIENCIAS SOCIALES
ED0157;PROYECTO DE PRÁCTICA I
ED0180;DIDÁCTICA IV DIDÁCTICA CRÍTICA CONTEXTO LATINOAMERICANO
ED0171;DIDÁCTICA III  DISEÑO CURRICULAR EN CIENCIAS SOCIALES
EC0231;Economía internacional
EC0222;Derecho económico
CO0088;TEORÍA DEL CONTROL
AD0059;PRÁCTICAS EMERGENTES DE LA GESTIÓN HUMANA
DE0052;DERECHO CONSTITUCIONAL COLOMBIANO
DE0203;TEORIA DEL ESTADO
IF0018;TEORIA GENERAL DE SISTEMAS
IF0040;SISTEMAS OPERATIVOS
IF0024;INTRODUCCIÓN A LA PROGRAMACIÓN WEB
IF0016;LENGUAJE DE PROGRAMACIÓN ORIENTADO A OBJETOS I
EC0221;Macroeconomía III
EC0239;Economía ambiental
DE0231;GLOBALIZACIÓN Y DD HH. (SEMESTRALIZADO)
DE0059;DERECHO INTERNACIONAL
DE0060;DERECHO INTERNACIONAL HUMANITARIO Y DERECHOS HUMANOS
DE0030;DERECHO CIVIL BIENES II
DE0102;DERECHO ROMANO
DE0029;DERECHO CIVIL BIENES I
CO0059;EMPRENDIMIENTO
EC0234;Fundamentos de pensamiento administrativo
EC0244;Mercado de capitales
DE0199;TECNICAS DE LA ORALIDAD Y EXPRESION CORPORAL
ID0062;GESTIÓN DEL TALENTO HUMANO
ID0113;SALARIOS
ID0064;HIGIENE Y SALUD OCUPACIONAL
DE0068;DERECHO LABORAL INDIVIDUAL
DE0066;DERECHO LABORAL COLECTIVO
DE0013;CONSULTORIO JURIDICO IV
DE0087;DERECHO PROCESAL ADMINISTRATIVO
ED0044;POLÍTICAS EDUCATIVAS
ED0053;ÉTICA EDUCATIVA
IF0012;ELECTRÓNICA BÁSICA GENERAL
DE0111;ECONOMÍA COLOMBIANA
DE0113;ECONOMIA, GLOBALIZACION Y DERECHO
AD0042;EMPRENDIMIENTO
AD0026;SISTEMAS DE INFORMACIÓN ORGANIZACIONAL
AD0045;GERENCIA ESTRATÉGICA
AD0036;TALLER DE HABILIDADES GERENCIALES
CO0056;DERECHO Y SOCIEDAD
CO0064;LEGISLACIÓN COMERCIAL
AD0044;GESTIÓN TECNOLÓGICA
AD0034;NEGOCIOS INTERNACIONALES
AD0009;ESPÍRITU EMPRESARIAL
DE0057;DERECHO CONSTITUCIONAL GENERAL
DE0090;DERECHO PROCESAL CIVIL I
DE0193;SOCIOLOGIA JURIDICA
IF0047;SEMINARIO DE INTELIGENCIA ARTIFICIAL
ID0052;FÍSICA Y LABORATORIO
IF0034;MÉTODOS NUMÉRICOS
IF0044;AUDITORIA DE SISTEMAS DE INFORMACIÓN
IF0023;BASE DE DATOS II
DE0156;INVESTIGACION III - PROYECTO DE INVESTIGACION
DE0043;DERECHO CIVIL SUCESIONES
ED0054;EMPRENDIMIENTO EDUCATIVO
ED0154;DIDÁCTICA I SABER DIDÁCTICO
ED0045;PSICOLOGÍA EDUCATIVA
ID0027;ECUACIONES DIFERENCIALES
ID0055;GEOMETRÍA ANALÍTICA Y VECTORIAL
DE0185;SEGURIDAD SOCIAL
DE0181;ROLES DEL ABOGADO (ELECTIVA II SEMESTRE)
AD0050;GERENCIA FINANCIERA II
AD0040;INSTITUCIONES FINANCIERAS
EC0265;Gerencia de proyectos públicos
CO0097;MATEMÁTICAS FINANCIERAS
CO0078;GESTIÓN DE COSTOS II
CO0082;CONTABILIDAD ADMINISTRATIVA
ED0048;INVESTIGACIÓN VII
ED0173;INVESTIGACIÓN IV TEORÍA CRÍTICA
ED0166;PROYECTO DE PRÁCTICA II
ED0049;PRÁCTICA DOCENTE II
ED0038;GEOPOLÍTICA
AD0013;COSTOS Y PRESUPUESTOS
AD0017;CONTABILIDAD ADMINISTRATIVA
AD0006;DERECHO Y SOCIEDAD
DE0234;ACCIONES CONSTITUCIONALES (SEMESTRALIZADO)
EC0238;Economía pública
EC0237;Economía del Desarrollo
CO0074;LEGISLACIÓN LABORAL
DE0147;INTRODUCCION AL DERECHO PENAL
ED0170;INGLÉS NIVEL III
ED0047;INGLÉS BÁSICO II
ED0179;INGLÉS NIVEL IV
ED0153;INGLÉS NIVEL I
DE0160;INVESTIGACION V - TRABAJO DE GRADO
DE0158;INVESTIGACION IV - TRABAJO DE CAMPO
DE0173;NOTARIADO Y REGISTRO
EC0201;Matemáticas I
EC0206;Matemáticas II
EC0207;Microeconomía I
EC0225;Métodos matemáticos
ID0037;EMPRENDIMIENTO EMPRESARIAL
DE0239;DCHO. PENAL INTERNACIONAL (SEMESTRALIZADO)
CO0098;TEORÍA DE LA REGULACIÓN
ID0149;MATEMÁTICAS
ID0056;GEOMETRÍA EUCLIDIANA
ID0012;CÁLCULO III
EC0229;Econometría I
CO0084;HACIENDA PÚBLICA
EC0223;Estadística II
EC0217;Estadística I
EC0226;Matemáticas financieras y evaluación de proyectos
EC0228;Humanidades
DE0196;SOLUCION ALTERNATIVA DE CONFLICTOS
DE0048;DERECHO COMERCIAL SOCIEDADES
AD0024;MATEMÁTICA FINANCIERAS
AD0047;GERENCIA FINANCIERA I
CO0051;CÁTEDRA UNIVERSITARIA
CO0052;MATEMÁTICAS I
CO0057;MATEMÁTICAS II
CO0094;PROCESOS DE CONTROL I
DE0124;FILOSOFIA DEL DERECHO
DE0129;HERMENEUTICA Y ARGUMENTACION
IF0021;MATEMÁTICAS DISCRETAS
IF0025;INGENIERÍA DE HARDWARE
ID0112;QUÍMICA GENERAL Y LABORATORIO
ID0093;MANTENIMIENTO
ID0011;CÁLCULO II
AD0012;FUNDAMENTOS DE ECONOMÍA
AD0018;FUNDAMENTOS DE MICROECONOMÍA
CO0079;FUNDAMENTOS DE MACROECONOMÍA
DE0177;PROPIEDAD INTELECTUAL  (ELECTIVA DEL IV SEMESTRE)
EC0257;Desarrollo territorial
EC0214;Microeconomía II
CO0054;HABILIDADES COMUNICATIVAS
CO0090;SEMINARIO HUMANÍSTICO II
ID0153;CÁTEDRA UNIVERSITARIA
AG0001;Dirección y Gestión Organizacional
ID0017;CONTABILIDAD GENERAL
ID0072;INGENIERÍA FINANCIERA
ID0021;COSTOS
CO0058;EPISTEMOLOGÍA E HISTORIA CONTABLE
CO0062;SEMINARIO DE INVESTIGACIÓN I
DE0244;DERECHO URBANÍSTICO (SEMESTRALIZADO)
